Name  	% Frequency  	Approx Number  	Rank

AARON	0.002	3,036 	2701
ABBEY	0.004	6,072 	1583
ABBIE	0.008	12,145 	1041
ABBY	0.016	24,289 	694
ABIGAIL	0.025	37,952 	520
ADA	0.057	86,531 	310
ADAH	0.001	1,518 	3285
ADALINE	0.002	3,036 	3051
ADAM	0.001	1,518 	3834
ADDIE	0.026	39,470 	513
ADELA	0.014	21,253 	723
ADELAIDA	0.004	6,072 	1462
ADELAIDE	0.008	12,145 	1020
ADELE	0.025	37,952 	524
ADELIA	0.003	4,554 	1903
ADELINA	0.007	10,627 	1148
ADELINE	0.018	27,326 	634
ADELL	0.005	7,590 	1420
ADELLA	0.003	4,554 	1730
ADELLE	0.003	4,554 	2112
ADENA	0.001	1,518 	3668
ADINA	0.003	4,554 	1996
ADRIA	0.003	4,554 	1863
ADRIAN	0.009	13,663 	959
ADRIANA	0.025	37,952 	517
ADRIANE	0.004	6,072 	1623
ADRIANNA	0.004	6,072 	1509
ADRIANNE	0.007	10,627 	1069
ADRIEN	0.001	1,518 	3590
ADRIENE	0.002	3,036 	3050
ADRIENNE	0.039	59,206 	394
AFTON	0.003	4,554 	2100
AGATHA	0.007	10,627 	1130
AGNES	0.098	148,773 	217
AGNUS	0.001	1,518 	4094
AGRIPINA	0.001	1,518 	3404
AGUEDA	0.001	1,518 	4093
AGUSTINA	0.003	4,554 	1830
AI	0.001	1,518 	4092
AIDA	0.023	34,916 	559
AIDE	0.001	1,518 	3232
AIKO	0.001	1,518 	3667
AILEEN	0.016	24,289 	685
AILENE	0.001	1,518 	3231
AIMEE	0.027	40,988 	503
AISHA	0.009	13,663 	919
AJA	0.003	4,554 	2043
AKIKO	0.002	3,036 	2496
AKILAH	0.001	1,518 	3589
ALAINA	0.005	7,590 	1353
ALAINE	0.001	1,518 	4182
ALANA	0.012	18,217 	794
ALANE	0.001	1,518 	3753
ALANNA	0.004	6,072 	1582
ALAYNA	0.001	1,518 	3997
ALBA	0.009	13,663 	979
ALBERT	0.001	1,518 	3454
ALBERTA	0.052	78,941 	332
ALBERTHA	0.003	4,554 	1753
ALBERTINA	0.002	3,036 	2352
ALBERTINE	0.003	4,554 	2111
ALBINA	0.004	6,072 	1608
ALDA	0.004	6,072 	1455
ALEASE	0.001	1,518 	3093
ALECIA	0.007	10,627 	1147
ALEEN	0.001	1,518 	3284
ALEIDA	0.002	3,036 	2700
ALEISHA	0.001	1,518 	3833
ALEJANDRA	0.012	18,217 	797
ALEJANDRINA	0.002	3,036 	2186
ALENA	0.003	4,554 	1970
ALENE	0.007	10,627 	1160
ALESHA	0.004	6,072 	1622
ALESHIA	0.001	1,518 	3145
ALESIA	0.004	6,072 	1570
ALESSANDRA	0.001	1,518 	3588
ALETA	0.004	6,072 	1508
ALETHA	0.006	9,109 	1249
ALETHEA	0.003	4,554 	2022
ALETHIA	0.002	3,036 	2435
ALEX	0.002	3,036 	2660
ALEXA	0.006	9,109 	1227
ALEXANDER	0.002	3,036 	2170
ALEXANDRA	0.039	59,206 	396
ALEXANDRIA	0.014	21,253 	747
ALEXIA	0.003	4,554 	1818
ALEXIS	0.03	45,543 	457
ALFREDA	0.009	13,663 	913
ALFREDIA	0.001	1,518 	3832
ALI	0.002	3,036 	2434
ALIA	0.002	3,036 	2287
ALICA	0.002	3,036 	2286
ALICE	0.357	541,958 	51
ALICIA	0.146	221,641 	152
ALIDA	0.003	4,554 	1810
ALINA	0.006	9,109 	1267
ALINE	0.011	16,699 	845
ALISA	0.02	30,362 	603
ALISE	0.002	3,036 	2659
ALISHA	0.027	40,988 	502
ALISHIA	0.002	3,036 	3004
ALISIA	0.002	3,036 	2967
ALISON	0.05	75,905 	347
ALISSA	0.011	16,699 	866
ALITA	0.001	1,518 	3187
ALIX	0.002	3,036 	2809
ALIZA	0.002	3,036 	3049
ALLA	0.002	3,036 	2765
ALLEEN	0.001	1,518 	3230
ALLEGRA	0.002	3,036 	2596
ALLEN	0.002	3,036 	3048
ALLENA	0.001	1,518 	3914
ALLENE	0.008	12,145 	1050
ALLIE	0.013	19,735 	764
ALLINE	0.002	3,036 	2845
ALLISON	0.092	139,664 	228
ALLYN	0.001	1,518 	4275
ALLYSON	0.013	19,735 	775
ALMA	0.111	168,508 	196
ALMEDA	0.003	4,554 	1781
ALMETA	0.002	3,036 	2890
ALONA	0.001	1,518 	4274
ALPHA	0.005	7,590 	1317
ALTA	0.019	28,844 	619
ALTAGRACIA	0.004	6,072 	1507
ALTHA	0.002	3,036 	2467
ALTHEA	0.012	18,217 	790
ALVA	0.006	9,109 	1172
ALVERA	0.002	3,036 	2699
ALVERTA	0.001	1,518 	3522
ALVINA	0.006	9,109 	1167
ALYCE	0.01	15,181 	877
ALYCIA	0.003	4,554 	1703
ALYSA	0.001	1,518 	3587
ALYSE	0.002	3,036 	2628
ALYSHA	0.002	3,036 	2433
ALYSIA	0.003	4,554 	1852
ALYSON	0.009	13,663 	981
ALYSSA	0.031	47,061 	448
AMADA	0.003	4,554 	1902
AMAL	0.001	1,518 	3996
AMALIA	0.01	15,181 	905
AMANDA	0.404	613,309 	40
AMBER	0.16	242,895 	139
AMBERLY	0.001	1,518 	3092
AMEE	0.001	1,518 	3913
AMELIA	0.052	78,941 	331
AMERICA	0.003	4,554 	1702
AMI	0.004	6,072 	1517
AMIE	0.013	19,735 	789
AMIEE	0.001	1,518 	3912
AMINA	0.002	3,036 	2236
AMIRA	0.001	1,518 	4091
AMMIE	0.002	3,036 	2733
AMPARO	0.009	13,663 	916
AMY	0.451	684,659 	32
AN	0.001	1,518 	3586
ANA	0.12	182,171 	181
