Name  	% Frequency  	Approx Number  	Rank

AARON	0.24	 350,151 	77
ABDUL	0.007	10,213 	831
ABE	0.006	8,754 	854
ABEL	0.019	27,720 	485
ABRAHAM	0.035	51,064 	347
ABRAM	0.005	7,295 	1053
ADALBERTO	0.005	7,295 	1040
ADAM	0.259	377,871 	69
ADAN	0.008	11,672 	752
ADOLFO	0.014	20,425 	567
ADOLPH	0.011	16,049 	642
ADRIAN	0.069	100,668 	227
AGUSTIN	0.015	21,884 	563
AHMAD	0.006	8,754 	885
AHMED	0.005	7,295 	1000
AL	0.023	33,556 	435
ALAN	0.204	297,628 	91
ALBERT	0.314	458,114 	54
ALBERTO	0.053	77,325 	270
ALDEN	0.006	8,754 	889
ALDO	0.007	10,213 	849
ALEC	0.006	8,754 	930
ALEJANDRO	0.043	62,735 	305
ALEX	0.115	167,781 	156
ALEXANDER	0.132	192,583 	141
ALEXIS	0.011	16,049 	641
ALFONSO	0.038	55,441 	331
ALFONZO	0.006	8,754 	911
ALFRED	0.162	236,352 	125
ALFREDO	0.054	78,784 	269
ALI	0.012	17,508 	614
ALLAN	0.061	88,997 	250
ALLEN	0.174	253,859 	114
ALONSO	0.004	5,836 	1219
ALONZO	0.022	32,097 	451
ALPHONSE	0.007	10,213 	824
ALPHONSO	0.011	16,049 	654
ALTON	0.033	48,146 	361
ALVA	0.007	10,213 	793
ALVARO	0.012	17,508 	619
ALVIN	0.105	153,191 	169
AMADO	0.005	7,295 	965
AMBROSE	0.004	5,836 	1096
AMOS	0.02	29,179 	470
ANDERSON	0.007	10,213 	814
ANDRE	0.076	110,881 	217
ANDREA	0.006	8,754 	900
ANDREAS	0.004	5,836 	1110
ANDRES	0.034	49,605 	352
ANDREW	0.537	783,462 	35
ANDY	0.049	71,489 	284
ANGEL	0.082	119,635 	205
ANGELO	0.039	56,899 	326
ANIBAL	0.005	7,295 	959
ANTHONY	0.721	1,051,911 	22
ANTIONE	0.004	5,836 	1155
ANTOINE	0.016	23,343 	536
ANTON	0.013	18,966 	591
ANTONE	0.005	7,295 	990
ANTONIA	0.004	5,836 	1069
ANTONIO	0.19	277,203 	100
ANTONY	0.008	11,672 	791
ANTWAN	0.006	8,754 	888
ARCHIE	0.033	48,146 	362
ARDEN	0.004	5,836 	1080
ARIEL	0.007	10,213 	830
ARLEN	0.004	5,836 	1134
ARLIE	0.004	5,836 	1189
ARMAND	0.012	17,508 	618
ARMANDO	0.058	84,620 	258
ARNOLD	0.072	105,045 	224
ARNOLDO	0.004	5,836 	1181
ARNULFO	0.007	10,213 	843
ARON	0.006	8,754 	864
ARRON	0.008	11,672 	790
ART	0.009	13,131 	710
ARTHUR	0.335	488,752 	48
ARTURO	0.043	62,735 	304
ASA	0.004	5,836 	1133
ASHLEY	0.014	20,425 	584
AUBREY	0.019	27,720 	495
AUGUST	0.015	21,884 	551
AUGUSTINE	0.007	10,213 	806
AUGUSTUS	0.005	7,295 	948
AURELIO	0.009	13,131 	736
AUSTIN	0.044	64,194 	301
AVERY	0.011	16,049 	638
BARNEY	0.009	13,131 	705
BARRETT	0.005	7,295 	1044
BARRY	0.134	195,501 	140
BART	0.014	20,425 	574
BARTON	0.006	8,754 	877
BASIL	0.01	14,590 	668
BEAU	0.009	13,131 	712
BEN	0.078	113,799 	212
BENEDICT	0.004	5,836 	1124
BENITO	0.015	21,884 	556
BENJAMIN	0.27	393,920 	66
BENNETT	0.008	11,672 	785
BENNIE	0.032	46,687 	371
BENNY	0.03	43,769 	382
BENTON	0.004	5,836 	1175
BERNARD	0.127	185,288 	142
BERNARDO	0.01	14,590 	664
BERNIE	0.008	11,672 	757
BERRY	0.006	8,754 	929
BERT	0.022	32,097 	453
BERTRAM	0.005	7,295 	1028
BILL	0.112	163,404 	159
BILLIE	0.017	24,802 	522
BILLY	0.248	361,822 	73
BLAINE	0.015	21,884 	559
BLAIR	0.008	11,672 	748
BLAKE	0.036	52,523 	342
BO	0.005	7,295 	1043
BOB	0.055	80,243 	266
BOBBIE	0.01	14,590 	660
BOBBY	0.223	325,348 	83
BOOKER	0.008	11,672 	770
BORIS	0.006	8,754 	860
BOYCE	0.004	5,836 	1174
BOYD	0.019	27,720 	487
BRAD	0.073	106,504 	219
BRADFORD	0.021	30,638 	467
BRADLEY	0.159	231,975 	128
