Surname  	Approx Number  	% Frequency  	Rank

SMITH	2,501,922 	1.006	1
JOHNSON	2,014,470 	0.81	2
WILLIAMS	1,738,413 	0.699	3
JONES	1,544,427 	0.621	4
BROWN	1,544,427 	0.621	5
DAVIS	1,193,760 	0.48	6
MILLER	1,054,488 	0.424	7
WILSON	843,093 	0.339	8
MOORE	775,944 	0.312	9
TAYLOR	773,457 	0.311	10
ANDERSON	773,457 	0.311	11
THOMAS	773,457 	0.311	12
JACKSON	770,970 	0.31	13
WHITE	693,873 	0.279	14
HARRIS	683,925 	0.275	15
MARTIN	678,951 	0.273	16
THOMPSON	669,003 	0.269	17
GARCIA	631,698 	0.254	18
MARTINEZ	581,958 	0.234	19
ROBINSON	579,471 	0.233	20
CLARK	574,497 	0.231	21
RODRIGUEZ	569,523 	0.229	22
LEWIS	562,062 	0.226	23
LEE	547,140 	0.22	24
WALKER	544,653 	0.219	25
HALL	497,400 	0.2	26
ALLEN	494,913 	0.199	27
YOUNG	479,991 	0.193	28
HERNANDEZ	477,504 	0.192	29
KING	472,530 	0.19	30
WRIGHT	470,043 	0.189	31
LOPEZ	465,069 	0.187	32
HILL	465,069 	0.187	33
SCOTT	460,095 	0.185	34
GREEN	455,121 	0.183	35
ADAMS	432,738 	0.174	36
BAKER	425,277 	0.171	37
GONZALEZ	412,842 	0.166	38
NELSON	402,894 	0.162	39
CARTER	402,894 	0.162	40
MITCHELL	397,920 	0.16	41
PEREZ	385,485 	0.155	42
ROBERTS	380,511 	0.153	43
TURNER	378,024 	0.152	44
PHILLIPS	370,563 	0.149	45
CAMPBELL	370,563 	0.149	46
PARKER	363,102 	0.146	47
EVANS	350,667 	0.141	48
EDWARDS	340,719 	0.137	49
COLLINS	333,258 	0.134	50
STEWART	330,771 	0.133	51
SANCHEZ	323,310 	0.13	52
MORRIS	310,875 	0.125	53
ROGERS	305,901 	0.123	54
REED	303,414 	0.122	55
COOK	298,440 	0.12	56
MORGAN	293,466 	0.118	57
BELL	290,979 	0.117	58
MURPHY	290,979 	0.117	59
BAILEY	286,005 	0.115	60
RIVERA	281,031 	0.113	61
COOPER	281,031 	0.113	62
RICHARDSON	278,544 	0.112	63
COX	273,570 	0.11	64
HOWARD	273,570 	0.11	65
WARD	268,596 	0.108	66
TORRES	268,596 	0.108	67
PETERSON	266,109 	0.107	68
GRAY	263,622 	0.106	69
RAMIREZ	261,135 	0.105	70
JAMES	261,135 	0.105	71
WATSON	256,161 	0.103	72
BROOKS	256,161 	0.103	73
KELLY	253,674 	0.102	74
SANDERS	248,700 	0.1	75
PRICE	246,213 	0.099	76
BENNETT	246,213 	0.099	77
WOOD	243,726 	0.098	78
BARNES	241,239 	0.097	79
ROSS	238,752 	0.096	80
HENDERSON	236,265 	0.095	81
COLEMAN	236,265 	0.095	82
JENKINS	236,265 	0.095	83
PERRY	233,778 	0.094	84
POWELL	231,291 	0.093	85
LONG	228,804 	0.092	86
PATTERSON	228,804 	0.092	87
HUGHES	228,804 	0.092	88
FLORES	228,804 	0.092	89
WASHINGTON	228,804 	0.092	90
BUTLER	226,317 	0.091	91
SIMMONS	226,317 	0.091	92
FOSTER	226,317 	0.091	93
GONZALES	216,369 	0.087	94
BRYANT	216,369 	0.087	95
ALEXANDER	211,395 	0.085	96
RUSSELL	211,395 	0.085	97
GRIFFIN	208,908 	0.084	98
DIAZ	208,908 	0.084	99
HAYES	206,421 	0.083	100
MYERS	206,421 	0.083	101
FORD	203,934 	0.082	102
HAMILTON	203,934 	0.082	103
GRAHAM	203,934 	0.082	104
SULLIVAN	201,447 	0.081	105
WALLACE	201,447 	0.081	106
WOODS	198,960 	0.08	107
COLE	198,960 	0.08	108
WEST	198,960 	0.08	109
JORDAN	193,986 	0.078	110
OWENS	193,986 	0.078	111
REYNOLDS	193,986 	0.078	112
FISHER	191,499 	0.077	113
ELLIS	191,499 	0.077	114
HARRISON	189,012 	0.076	115
GIBSON	186,525 	0.075	116
MCDONALD	186,525 	0.075	117
CRUZ	186,525 	0.075	118
MARSHALL	186,525 	0.075	119
ORTIZ	186,525 	0.075	120
GOMEZ	186,525 	0.075	121
MURRAY	184,038 	0.074	122
FREEMAN	184,038 	0.074	123
WELLS	181,551 	0.073	124
WEBB	179,064 	0.072	125
SIMPSON	174,090 	0.07	126
STEVENS	174,090 	0.07	127
TUCKER	174,090 	0.07	128
PORTER	171,603 	0.069	129
HUNTER	171,603 	0.069	130
HICKS	171,603 	0.069	131
CRAWFORD	169,116 	0.068	132
HENRY	169,116 	0.068	133
BOYD	169,116 	0.068	134
MASON	169,116 	0.068	135
MORALES	166,629 	0.067	136
KENNEDY	166,629 	0.067	137
WARREN	166,629 	0.067	138
DIXON	164,142 	0.066	139
RAMOS	164,142 	0.066	140
REYES	164,142 	0.066	141
BURNS	161,655 	0.065	142
GORDON	161,655 	0.065	143
SHAW	161,655 	0.065	144
HOLMES	161,655 	0.065	145
RICE	159,168 	0.064	146
ROBERTSON	159,168 	0.064	147
HUNT	156,681 	0.063	148
BLACK	156,681 	0.063	149
DANIELS	154,194 	0.062	150
PALMER	154,194 	0.062	151
MILLS	151,707 	0.061	152
NICHOLS	149,220 	0.06	153
GRANT	149,220 	0.06	154
KNIGHT	149,220 	0.06	155
FERGUSON	146,733 	0.059	156
ROSE	146,733 	0.059	157
STONE	146,733 	0.059	158
HAWKINS	146,733 	0.059	159
DUNN	144,246 	0.058	160
PERKINS	144,246 	0.058	161
HUDSON	144,246 	0.058	162
SPENCER	141,759 	0.057	163
GARDNER	141,759 	0.057	164
STEPHENS	141,759 	0.057	165
PAYNE	141,759 	0.057	166
PIERCE	139,272 	0.056	167
BERRY	139,272 	0.056	168
MATTHEWS	139,272 	0.056	169
ARNOLD	139,272 	0.056	170
WAGNER	136,785 	0.055	171
WILLIS	136,785 	0.055	172
RAY	136,785 	0.055	173
WATKINS	136,785 	0.055	174
OLSON	136,785 	0.055	175
CARROLL	136,785 	0.055	176
DUNCAN	136,785 	0.055	177
SNYDER	136,785 	0.055	178
HART	134,298 	0.054	179
CUNNINGHAM	134,298 	0.054	180
BRADLEY	134,298 	0.054	181
LANE	134,298 	0.054	182
ANDREWS	134,298 	0.054	183
RUIZ	134,298 	0.054	184
HARPER	134,298 	0.054	185
FOX	131,811 	0.053	186
RILEY	131,811 	0.053	187
ARMSTRONG	131,811 	0.053	188
CARPENTER	131,811 	0.053	189
WEAVER	131,811 	0.053	190
GREENE	131,811 	0.053	191
